adyghe	ady
albanian	sqi
ancient-greek	grc
arabic	ara
armenian	hye
asturian	ast
azerbaijani	aze
bashkir	bak
basque	eus
belarusian	bel
bengali	ben
breton	bre
bulgarian	bul
catalan	cat
central-kurdish	ckb
classical-armenian	xcl
classical-syriac	syc
cornish	cor
crimean-tatar	crh
czech	ces
danish	dan
dutch	nld
english	eng
estonian	est
faroese	fao
finnish	fin
french	fra
friulian	fur
galician	gal
georgian	kat
german	deu
gothic	got
greenlandic	kal
haida	hai
hebrew	heb
hindi	hin
hungarian	hun
icelandic	isl
ingrian	izh
irish	gle
italian	ita
kabardian	kbd
kannada	kan
karelian	krl
kashubian	csb
kazakh	kaz
khakas	kjh
khaling	klr
ladin	lld
latin	lat
latvian	lav
lithuanian	lit
livonian	liv
livvi	olo
low-german	nds
lower-sorbian	dsb
ludian	lud
macedonian	mkd
maltese	mlt
manx	glv
mapudungun	arn
middle-french	frm
middle-high-german	gmh
middle-low-german	gml
modern-greek	ell
murrinhpatha	mwf
navajo	nav
neapolitan	nap
norman	xno
north-frisian	frr
northern-kurdish	kmr
northern-sami	sme
norwegian-bokmål	no
norwegian-nynorsk	nno
occitan	oci
old-church-slavonic	chu
old-english	ang
old-french	fro
old-irish	sga
old-saxon	osx
pashto	pus
persian	fas
polish	pol
portuguese	por
quechua	que
romanian	ron
russian	rus
sanskrit	san
scottish-gaelic	gla
serbo-croatian	hbs
slovenian	slv
spanish	spa
swahili	swc
swedish	swe
tajik	tgk
tatar	tat
telugu	tel
tibetan	bod
turkish	tur
turkmen	tuk
ukrainian	ukr
urdu	urd
uzbek	uzb
venetian	vec
veps-vepsian	vep
votic	vot
welsh	cym
west-frisian	fry
yiddish	yid
zulu	zul
